date_COVID,state,positive,negative,pending,hospitalized,death,total,Most_Recent_Date,Data_asof
2020-05-15,MD,36986,145840,,6679,1911,182826,Old_Data,2020-05-18
2020-05-15,ME,1603,22092,,211,69,23695,Old_Data,2020-05-18
2020-05-15,MI,50079,307417,,,4825,357496,Old_Data,2020-05-18
2020-05-15,MN,14240,120429,,1985,692,134669,Old_Data,2020-05-18
2020-05-15,MO,10456,124002,,,576,134458,Old_Data,2020-05-18
2020-05-15,MP,19,3306,,,2,3325,Old_Data,2020-05-18
2020-05-15,MS,10801,96022,,1712,493,106823,Old_Data,2020-05-18
2020-05-15,MT,466,24952,,63,16,25418,Old_Data,2020-05-18
2020-05-15,NC,17129,214418,,,641,231547,Old_Data,2020-05-18
2020-05-15,ND,1761,49954,,130,42,51715,Old_Data,2020-05-18
2020-05-15,NE,9416,47799,,,113,57215,Old_Data,2020-05-18
2020-05-15,NH,3464,39148,543,335,159,43155,Old_Data,2020-05-18
2020-05-15,NJ,143905,319067,,,10138,462972,Old_Data,2020-05-18
2020-05-15,NM,5503,114098,,886,242,119601,Old_Data,2020-05-18
2020-05-15,NV,6614,65532,,,339,72146,Old_Data,2020-05-18
2020-05-15,NY,345813,992235,,74751,22304,1338048,Old_Data,2020-05-18
2020-05-15,OH,26954,219228,,4791,1581,246182,Old_Data,2020-05-18
2020-05-15,OK,5086,113106,,863,285,118192,Old_Data,2020-05-18
2020-05-15,OR,3541,85965,,691,137,89506,Old_Data,2020-05-18
2020-05-15,PA,60622,259210,,,4342,319832,Old_Data,2020-05-18
2020-05-15,PR,2542,,,,122,2542,Old_Data,2020-05-18
2020-05-15,RI,12219,92759,,1372,479,104978,Old_Data,2020-05-18
2020-05-15,SC,8407,101209,,1421,380,109616,Old_Data,2020-05-18
2020-05-15,SD,3887,23527,,296,44,27414,Old_Data,2020-05-18
2020-05-15,TN,16970,292786,,1454,290,309756,Old_Data,2020-05-18
2020-05-15,TX,45198,600794,,,1272,645992,Old_Data,2020-05-18
2020-05-15,UT,6913,156305,,566,77,163218,Old_Data,2020-05-18
2020-05-15,VA,28672,149342,458,5316,977,178472,Old_Data,2020-05-18
2020-05-15,VI,69,1194,37,,6,1300,Old_Data,2020-05-18
2020-05-15,VT,933,22272,,,53,23205,Old_Data,2020-05-18
2020-05-15,WA,18555,268782,,,983,287337,Old_Data,2020-05-18
2020-05-15,WI,11685,128657,191,1977,445,140533,Old_Data,2020-05-18
2020-05-15,WV,1441,69495,,,62,70936,Old_Data,2020-05-18
2020-05-15,WY,715,15307,,68,7,16022,Old_Data,2020-05-18
2020-05-14,AK,387,31375,,,10,31762,Old_Data,2020-05-18
2020-05-14,AL,10968,131017,,1350,467,141985,Old_Data,2020-05-18
2020-05-14,AR,4236,71582,,509,97,75818,Old_Data,2020-05-18
2020-05-14,AS,0,105,,,0,105,Old_Data,2020-05-18
2020-05-14,AZ,12674,121664,,1636,624,134338,Old_Data,2020-05-18
2020-05-14,CA,73164,1031487,,,3032,1104651,Old_Data,2020-05-18
2020-05-14,CO,20475,94044,,3735,1062,114519,Old_Data,2020-05-18
2020-05-14,CT,35464,114098,,10946,3219,149562,Old_Data,2020-05-18
2020-05-14,DC,6736,26263,,,358,32999,Old_Data,2020-05-18
2020-05-14,DE,7223,29634,,,260,36857,Old_Data,2020-05-18
2020-05-14,FL,43210,565627,1228,7993,1948,610065,Old_Data,2020-05-18
2020-05-14,GA,35858,250023,,6345,1527,285881,Old_Data,2020-05-18
2020-05-14,GU,153,4226,,,5,4379,Old_Data,2020-05-18
2020-05-14,HI,638,38243,,81,17,38881,Old_Data,2020-05-18
2020-05-14,IA,13675,75619,,,318,89294,Old_Data,2020-05-18
2020-05-14,ID,2324,31430,,212,69,33754,Old_Data,2020-05-18
2020-05-14,IL,87937,424100,,,3928,512037,Old_Data,2020-05-18
2020-05-14,IN,26053,134186,,4389,1646,160239,Old_Data,2020-05-18
2020-05-14,KS,7468,50160,,704,164,57628,Old_Data,2020-05-18
2020-05-14,KY,7080,110315,,1835,326,117395,Old_Data,2020-05-18
2020-05-14,LA,33489,214099,,,2417,247588,Old_Data,2020-05-18
